channelID,channelName
UC1AZWfxKem018XQLZk__fEA,創意油管 IDEAS TUBE
UCcADrgVMaI1tPQPBVG7BbNQ,Hello Anna Tarot 安娜塔羅
UCQ-DGmX8TwVkk9kNtBdlBGg,亞歷三小
UCUJdsQghaciVvOmwz7kxqzA,找蔬食Traveggo
UCzNlG2f1wM7gBKucD6Wz9Mg,carlos619mor
UCgqwx3Hl8_N3WFyaGbL4dsg,李佳歡 KarFun
UCHGbDumXDqxpnkUGzwq3A3g,waawei
UCu-S7XVv1wDn9xThBSxQ1vg,嘴哥Eddy
UCBnS5TiyuGbNx85nicLwm2g,LUVE Taiwan
UCJKYpzZacfzD0Fs91sfZePA,ben170
UCzcEnsTFjLJWEpEKhcg9LAg,娛樂星世界
UCcuND0XPs9vAvfHXsOrhLwg,Yaco Universe
UCOMQzjUf2GybCVMs5U45SBA,漸覺
UCDk8nOed6dTFLzFMKajohPg,C Ting
UCoZsNc_x59uBBlvHWahR_Ug,e4653303
UC28vBqr6q6ylQJc6uZ9s63Q,東森戲劇臺
UC76KpTsowzMhEYTp66HVw6A,Twoperafan
UCZ2EoLNz4EzAnAIKCGhiRzQ,GTV八大劇樂部
UC8NhWLHnfhw-byFvQb2ShUw,Maybelline Taiwan
UCuC68gygDBab5XMkTQQh2eg,小百合in臺灣/Sayuri TV
UCXNUaD0AjoL0Lw556n6u7hw,歌神請上車
UCV1u7O3nKud7k6dqyl2SxBA,凱源寶島站KarRoy
UCR1VERd4BO0DDu2kFI182mQ,韓國年輕人 요즘한국애들
UCcdrDcJdQj6WN0U7jZpsBjQ,貼紙哥黃建豪
UC5AMfLhDI_FFBSPkoAcEMxw,出差夾娃娃 Official channel Lin
UC7LdWALv3LSWxs6mN0hPlvQ,許勝德
UC_rhRMpAno5Sii0khZ9zdjA,阿命 Aming
UCennOfgqTBnRAYcsjqftM3g,加珍珠&甘那迪
UCToGYhFEHZcFFz7-Vc_fLHQ,不插電粒方
UCKeaTrIOr5VySKgJ2Hqfv-g,Mimi Chang
UCPqD8Qmi5BaW6wNHeEjzuAQ,吳秉承 承味饌廚房料理頻道
UCP_Oexy3Dmh7iTUkx3qPA_g,藤本植物
UCt-70zfL_dOd_KCk36SZQrw,極限破臺語of Smalling
UC5A_HWqHTyNNUdGsteauDGQ,第三方調查
UCIw513GQtLIjzZqoI1HM83g,DaMoveTv
UC5jmk3PklHQOfR5rIonK_vg,TPD Dance & Film
UC1MbG338gVVVoEv6srK661w,burabiairi2
UCesy5DgwOKgh00dle17dx4g,人生巔峯
UC8SlTZnXKg_VZYACm2i1zrw,eisonprogram
UCY_S0RFUE8Mq4CFIgMWG1ng,Dong Xin
UC8y9FU8v1UCligmDZaaH64g,王俊凱臺灣個站Happiness_Karry
UCMK11FBYm75_3vdm9DZ6OTA,comicfps
UCBWB1ybb-Rn7j1axkS8kkXA,小菜還有小夏。
UCsOgiszNTETJdsyMBNRqF_A,IrisVirus
UC3EXlNYqWlli5IjgWHMbQRA,高雄都會臺慶聯港都
UC-vOr9o8J42NXyxztOoE2xQ,緯來日本臺
UC2vT2Ptq7yA3XgT12wpNCtQ,David Lin
UCr9QGdWq1579Xd-OWoZSFWw,Mr.Sci Science Factory賽先生科學工廠
UCFM8mlULjzoh2DIZ9gcUpZA,rayarlee
UC6py6Fw47VqV8_jq7VUo9YQ,Want Red
UC5hN-rDYGerPRM_7Ai1onrQ,cite
UCHDXGsmMmW4N5ODbK66R7rA,廖人帥
UCyUAyd6dgeFtjLI2PwkhqlQ,smallox59420
UCt3jQmikd_qdOkzBBzYMnjA,夾娃娃 不專業SHTV
UCnxOnPFiIQGDCmKuQYYJjmA,clys23
UCRY3WI2ZqWHS5TZ-DfFa9UQ,Yen TV
UCL3C6Fpd8njwqquoNLXSYtw,華茵カイン
UC5k2iQjiVlfnyqlQIL4Lyjw,Chester楓翼
UCRfH3437sxcdcEam_418GOQ,瘋狂頻道
UCbwyPNcFZNA54h9wyEamoXw,魔力優格
UCdFt8uhYvpDLFsnjzYf4ZgQ,evcafe
UCm1ZWHRUI8ergLCknsI9uiw,臺視臺語臺 TTV Taigi Channel
UCb62lshBpkIrjsd7D0NktvQ,MsXixun
UCo8PekD0l_UKBDgPpjx2KPQ,LumiDanceSchool
UCEbWjgjbqG_z1DLRGdbNKyA,米薩小姐的星座塔羅
UCD59NK8RUyExedKzfroh53w,Paula塔羅&天使的探索旅程
UC0NCe-LjNDSR4T3IArruuew,施泰泰
UCieyhL1oLRIkZsODdlDtiUA,Taylor Swift Station
UCSB2thQG5x9vnWiQ6UIKfMw,zhizhu chou
UCNz2YbRPdGvyBq5qq7iqNwQ,國光幫幫忙
UCrLmKgzIlY53oyRLWFDTr7g,小米愛吃糖
UCwZLtbmvt_olkiqVmjS8a9w,千瀨優羽
UCGcViqBK53aFkRvNz1EUrnA,STAGE Group
UCKFUY_556sFawm2azZ6nbPA,霍如傾城
UCdvaD-AUwyhEm-aAc16vLnw,CK TV 史坦利國際傳媒
UCUwiG_JQwi7V8qWDZSlyviQ,Rowen King
UCY2byE_NDJriqkoUwsGImwA,felzbug
UCW1zlfMoq8wWt34bfITJAnA,歡樂智多星
UCeps1H_ch0qDwH8shnRkdhw,yihsuan Chen
UCbT3OjtGZM6j9glXb3_V0-g,祖寧
UC5UvsbPb7tn6Tf8zRTXNbXw,AK iPad Art
UC3pA_6M7MCBRFJorHVFFwQQ,I'm 拼命小姐 PinPin
UCm8nEP6Wnle4qoQ9qMA9BwA,三爪禪師
UC6_IldTdVtb9PWsRt7NpAoQ,SPPTW
UCsMUowIuBmnPY7rLxYg17ZQ,bbfish1224
UCRpcO0tLVaTA2T5aqqsynGw,NB熔岩
UCGphhpMFrg9R_NGN-RGKDxw,小葵-KUI
UCVFNgM6eJxi141Uc7zcmZ-w,易三山
UCFpptT52tAmSh_phz37ZVCQ,Liu Yifei Taiwan Fans 劉亦菲臺灣後援會
UCKoeE2MYe2SpsIMikP6_ejw,它宒宅
UCuhbi9q0evzREq5hd_LG1Sg,音響Sound TW
UC6FcYHEm7SO1jpu5TKjNXEA,這群人TGOP
UCX9VHpN62jkqCCntHxymPOA,NewShowBiz完全娛樂
UCTQ-gSOpuLtgQarXw3XVmyQ,Vidol TV
UCLW_SzI9txZvtOFTPDswxqg,木曜4超玩
UCEfetJrzg6OcXWWuX8uhdhw,WACKYBOYS 反骨男孩
UCV_S2S-Zs8LeuJxK-T3RQQg,黃氏兄弟
UCJWXJTaLqI5KBnJuaXbCaTg,白癡公主
UCSckEwXBJmJEUzIo6NplQ5g,菜喳
UCtcaZ5FUqaNXGX6xhpiGPQA,蔡阿嘎Life
UCIF_gt4BfsWyM_2GOcKXyEQ,啾啾鞋
UCxUzQ3wu0oJP_8YLWt71WgQ,HowFun
UCQU5uVTG8h9LToACKrm1LMA,綜藝玩很大 Mr.Player
UC5l1Yto5oOIgRXlI4p4VKbw,中天電視
UChX5JaALoA1o80Cc5zkQz_Q,sandy mandy
UC-z9BI8hMHNPrvnccyWgjyg,我愛貓大
UCDrswN-SqWh7Kii62h9aXGA,STR Network
UCkELMMBdy4gPj6ooQwYJ-yg,綜藝大熱門 Hot Door Night
UCXpxKdZAiyUEaTkoCPpEZzg,葉式特工 Yes Ranger
UCCtTgzGzQSWVzCG0xR7U-MQ,亮生活 / Bright Side
UCCrwpId4G9sRQjLHaUv90YA,含羞草
UCNz2YbRPdGvyBq5qq7iqNwQ,國光幫幫忙之大哥是對的 The Gang of Kuo Kuan - Yes Sir!
UCiMiEL1XRXANaypB2wEdr5w,民視戲劇館 Formosa TV Dramas
UCWGGwv7agoMmd3BAu4Fv3jQ,NyoNyoTV妞妞TV
UCZVCbj9weVNAWqXS9gnfm5A,鍾明軒
UCizhMTp9vKkpdcbqVLdDmdA,頑GAME
UC1krNaypYa_vx9W2Kvku8Xw,小伶玩具 Xiaoling Toy
UCk0TqVyUcT3VDYzF2A8MvCw,腦補給
UCiYZw0h6hA5ENlPhTZFTHTA,VS MEDIA Taiwan
UCTRpM-tjQqa_zPN7cm8LqZw,Odd Cactus
UCR2NvuBypJZl9n11qLAauWQ,八大電視娛樂百分百
UCj_z-Zeqk8LfwVxx0MUdL-Q,上班不要看 NSFW
UCX157UE-NdaUGQJDkQ-XKnw,ETtoday星光雲/官方平台
UCt0H6f2yOF26wi_Ng8HssJQ,三立台劇-炮仔聲 The sound of happiness
UCRevYqA7N-NrSCGSm5k-KlA,星培Jasper
UC9YOQFPfEUXbulKDtxeqqBA,胡子Huzi
UCUFNaNGi3lnBPq4gtdfJCAA,INFINI HD 4K ( dan201 )
UCnuJ3NDByVdJDg0PjEs_AGw,Vicky Tsai
UCghPiQIi_uyjF1YHKj-FhGw,台客劇場 TKstory
UCCiV0FmfqgLRC9zYjj1Q4IA,我愛小明星大跟班
UCSR9CHNMIg7YoNezbv4bh0A,GINA HELLO!
UCK7LdglLCApOTaylxX8hW2Q,唐綺陽官方專屬頻道
UCIlv2zQgmulRhEa1yCGLhpg,三度
UCAqzHNzLTC6Vm5UYE7xw_2A,健康2.0
UCiiS3Rp6cLZs4qmM3lb8H2A,本本
UCKoS1r1M9eJBIPWXRat8uEA,女人我最大
UCRG28JCnJwuZH06ETKTTZdA,路路LULU
UCjL1yWauBeI6WoQNVLyxwqQ,瑀熙 Yuci
UCr2XQRDcw26h5wMjiIbNkhA,王狗
UCUy-lBPiJYWXTvfYHiCb_-A,黑羽
UCgaEHWsvt6-m6fvnGS5gGxA,聲林之王 Jungle Voice
UCxavEmVVwWoONIVGlq5KUAA,英語小蛋糕Ricky
UCq2iefWrqW0W6Hic2xA1aDg,聖嚴法師大法鼓
UCb30gAZKHGyR4o3qj4oWqpw,PartMent
UCDHiLKI3IDMeNqbcKfAu6rQ,賴宇凡 - Sara的健康自己來
UC_KWBGMEUFQRWQHA4VGEApw,57健康同學會
UCCQSKi7Dr-AdEG7K6Bs6SfQ,GreatKidsLearning
UCLpO9pTsbuZju65mTrVawRw,新竹敏華牙醫新竹敏華牙醫
UCZr5JBMQj9lKL8aNIyeSYvA,陳靜芳
UCZIIc7zd8S3CutCmcrfzAkA,淨空法師專集網
UCp4PY14p-zim26ACwfCzTvQ,NCTU OCW
UCPzy3l0-orGovZoN0fx5C_A,王伯達觀點
UCDaNX2fF8v3j15Trjenum9Q,臺灣吳老師的營養頻道
UCnWB4yjKnm6AeW-pj4E3dQw,35線上賞屋
UCYIs6-FlKBiHmvm-_paDLFQ,臺大科學教育發展中心CASE
UCC6cZwBpRgmg96ilyOpFUGQ,雨揚樂活家族Yu Young
UCJy3dpu6D3jPz4ZqniODKhQ,張邁可
UCQ9AbYbJCjmvVIwQ6pUhrVQ,大小創意
UCEFnjJl7BoLtAbzpX_ELL-g,楊定一‧全部生命系列
UCLwXrQxfMXJN9J0leING0Xg,意外藝術 - EYArt
UCzM3rzxzbiGDzzhKpKDTv8w,YYTV 許洋洋媽媽說
UCmQ8EDGXQXIdDUGN0Decm8w,AKIRA放送/日語教學網
UCSgvLn9EzRHS7yOJqXcJ68Q,臺大演講網
UCK-YKZqy-EUx8M6jGR2Dduw,Jake傑克
UCSZYfZhpHUnpGGdgUhiYEEw,臺北天文館
UC56wjbQvOLl6FKoCXv04tfQ,華視教育體育文化頻道
UCdWEGZby_aufeEQalfCLPMg,TzuchiDaAi
UCbDEamSXQhxqhovhd2NdEyg,JunyiAcademy
UCAUuue3AfJt1ebFC1vKjA2Q,和合晟
UCe4L_p-xjnPe90CnFq7PWUw,說一點・法文
UCguZS-y7codLSt6vpkVdnKg,彭彭的課程
UCqlneNCZ1B253KlEKp0XW-w,公民叮：教學影片分享平臺
UCK0sAtIe0iJmpxh3S3R0LNA,最強電腦製圖Ricky
UC0HDdli4ZolWXcD_CN3saKw,歡哥法文- PFM 線上法語
UCRwFANKz6MUKhkaRW0xCx_g,看健大健康影音知識庫
UCB2sfz77vf5GtOxd7oPXMow,一小時學盲解 1hrBLD
UC38n1JA26OSW50Mhrqg7yGQ,newtonsa0301
UCdIucyomQw9AvhZMj8Sb5yQ,劉芳育
UCZsE1WxyhFgCH6Oehh6FcHw,ShannMath
UCsYHRgXsuBijjPuOaikogFQ,日光傳奇有限公司
UCCpaBcxbXZ1lwWXXp-BF8TA,廖家立
UCvfQrwneq6RC_D6V_dpn5IQ,DesignSourceTAIWAN
UCnw63syEQb-ZLFlWsUcRzFg,TaiwanLoveChinaEver
UCCk3zdZ02IsHA2gRllh1QgA,臺視樂活頻道
UCPUcnh4zOQnAL_lsVKl2blQ,PeggyTeachesChinese
UCKhWUY33n3vvXD8vCzTXhKg,聖嚴法師經典講座
UCWT7E6o99u5GLHZa07R_ZpA,Eric's English Lounge
UCtKJKCmjE8IUkRWcqK7TOjQ,孫在陽
UC3Tfy6BYEiA6ksIDVCkJtmQ,Pony Chen
UCfvfNND_PeyBJ5VOou0APRg,丁宗同
UChfl3auNxAxOR3wy8a8ysQQ,郭哲榮分析師
UCxpVi64WQwiD7F6r1JVPu9w,樂學網
UCOYDoltIsfic55hT0-ogEJA,Mandarin Impossible
UCsXBHu9OjJJJRH4LZ1SuB6Q,JS愛攻英文
UC1ccRQq38wI9mY1lu_WLN0g,Learning Mandarin with Yes!Mandarin
UCC9CAxup9QtOZA4JEpzXo0g,不足哥한국어
UC3HurGLJgwsFrVYE-MnQLIA,菁英國際語言教育中心
UCopFF9Mdf-l6MxscNzzbhpA,goodimoney
UCYaH6X-tdxJXMe6LuihaLzg,六合彩必中金彩六合
UCLaTrrF4YXwByWt01sq2Bvw,特會精選
UCe3nHUhkj_SaL5T-7KMz0tg,Keynote不求人
UCS3HMQCBOsY2rfrxYQBI0zw,eelshop chiu
UCOuFlZJL7NtkRSTBlsAGd1w,一郎人生
UCkkCj9q57XdSnSTEs3bA5cw,衛星Ethan
UCzybYPjD39YunGAeEmkxPsA,德文 - 就是這麼簡單!
UC_Oq67_smjvuYyyr0hIoxaQ,童綜合醫院TTMHH
UCYU23o0h9qHa1pbdXtEhHpg,BigCracker大破解家
UCy1-ZvFMSgZ0ygs5AtvJvKQ,readerspace
UCV3Grdqg21PA4C15zkS4yyg,菩提觀音寺 慧平法師
UCzC0EFM9urO-8yzubCINTeA,中國祕史
UCVu6NuJA9lhVRe72WlHVnOw,Mr. Danny's Civics Classroom丹尼老師的公民教室
UCCxR-ctkwkC7Ufi2d_LxHSg,尹星知識管理學院
UC-iikigydOVJtSR0QV4MxcQ,Yao A
UCY6fOSmmsc4y0WblatpPTow,abey1028
UCau-BqGn1s-pyE1_7f4Y5NA,妙果-宗教文化頻道mugo888
UCY_AoIeGi6QFFvwTwY0CXYA,大眼觀世界
UCamV-0ZpeZoOvZO0FF9krlA,Hiroshi日本語
UCDwjKQ9ITSjopSUQa9pnVhw,七成力70Harder
UCvclVhrNU0UPMRQJ81Xe5Yw,Ana Yeh English
UCmvXZmy0T9KbrV3332AW76Q,活化英文 Bring Your English to Life!
UCo8Lpx0aGY6Osdm7SL1BVhw,hitrmes
UCPjJvH0Z0Z_pUk4FQnaiFEA,棋樂園
UC6HPFg3i0VKR6Pp8YTcTZgw,陳聯忠老師
UC8qsOW5LxFaNyRLLfbDlm1Q,NTCH togo
UCCU-ubKBqoXzRgm4RJMQFZQ,公職王
UCJjZvuAxL5CqqHZF7hh0omg,chioucious
UCpTV2ja9rnMYCOSS1yYKWyg,阿彌陀佛身心靈善知識
UC5jmb4Apa7M6lO6z6zhzsyA,甄戰學習顧問
UCvLOFtjoMzjCuumr6DO2eGA,芭樂園
UCQSWNKMOSkJN4xYFFaYSrsw,Stepp學院
UCc1i9-vVOVaB9OjhOMqmiJA,fuan880201
UCbvdYhw9F4EWfhds_Hiikew,吳老師EXCEL VBA設計(大數據自動化)教學
UCX5z0dOtlQicbtX-oaSOsxA,Brian Fang
UCWesLqe0U6aYnzy-GVVr8Pg,黃永宗
UCexFPqntloberxQKDztFd6g,anchiang chu
UC5kS_JJH1eQ93gt1-o9peaA,Kevin Hsu
UCEL8871qFEakpqYpwBSjHNA,Alex 宅幹嘛
UCE4ewSUSSwEvvTyHTUip4wQ,迪先生
UCzGnILqcO4yYUQCLcdc4SEw,臺科大圖書
UCEeFUkIQY4qvF4LSF0UheCA,小小林圍棋菁英班
UCCEG92L1pQRvVmTKcGa3V4g,音樂製作課Shawn
UCFsXFlbI8FpNAVQ_RL3I4bw,瑪莎與熊 Masha and The Bear CH
UC6IMF6xi_MZ3jA1wRlPQDLA,主頻道【谷阿莫】
UCghSH7oEVzV0esSVhGQgQSg,counter656
UCzxN4G3s9uR9ao5_O5DoXmA,Onion Man
UC0Q-fBheHysYWz9ObSEzMdA,超粒方
UCFsNxYnUEs4tcqyddJhW43g,喪屍老爸
UCOHZXI8waSCVVQPz0tBvR1g,蛋哥超有事
UCI6JZbv41E8csobYsXKobBQ,哇萨比抓马 WasabiDrama
UCec6QE03CMLgtf0f1-uDdbw,加點吉拿棒
UC7m6OSDF6f8We4Kgaij89TQ,Blu's Studio
UCMFYhD8q1axdmdVR30EDExA,觸電網 - 電影情報入口網
UCt8mg-YL_ikTAJKuZ8GMtqg,那些電影教我的事 Lessons from Movies
UCgdwtyqBunlRb-i-7PnCssQ,Muse木棉花-TW
UCeFL-kNY6QPV6tu0v6vGjEA,分分鐘電影大咖
UCbE4EuCiOUVmIUmP04YpSfg,翼龍媽咪【Peppa Pig 分享頻道】
UCJWBmkMzZHHJIpGYgIGm7mw,Onion Man 洋蔥與阿文 第二短廢片頻道
UCzAOdjLlfyW19t8PtG1f7MA,TEEPR 叭啦叭啦研究室
UClE9_aBRzxYdg59Ub3zL_zQ,鹿人與泥鰍小劇場
UCd4JzeAkgTsyJDEkWC11PoA,A Jie
UCb0gOL3Ow7srd71q2AK8Q3g,DeluCat迪鹿
UCcvJMrfZytewRd0VcC_oKpg,POTV
UC0w338Zlnrm8rUXC1GB-FGQ,環球影片 官方頻道
UC4rA6Q2ezSiYKnM2zy_evsw,電影法蘭克
UCCbYWuRvD2q_3qSla1gNHtg,大象放映室
UCAM7yIYvZGYLJR6z6RqLlNw,Super Y超級歪
UC1DySEJ6tW4UaFHwxRUVhGQ,DCU homentertainment
UCXw0IZH9QlbElGMZE7fHC-A,WeTV 台灣
UCkM5JioKc2MafrXNMNaJCFQ,囂搞 Shaogao
UC-Jdvil2cD-QkvAt2b5FjMA,Jordan Tseng
UCSHq3ZQj50748wKO1z_6Nww,馬姿幽達
UCMYu1Va1J7NUxZtpTUPAGJQ,一禪小和尚
UCrsqlIj83M6jdUehLWSX4jQ,次郎
UCrCoNX1U-kK9TkdnTa_rSbA,丁小雨Megumi Editor
UCzx3B2tdvKEZGlTDkmURxqA,他她TV
UCygldVZFpOJ49C4TZZ1eXnA,FOX Taiwan
UCSTsji9cUBBD6SOfw2fh5KA,Chinese Drama Head Quarter
UCsrWoMiWGwjFo4toX4D8Hsg,海森堡HEISENBERG
UCHpwj_AsgvrlqSyUsp2rw8Q,W的生活旅遊_電影版
UCDIxyUOAs2F9vYKozdsmj_A,暗黑動畫師 血多 Xieduo
UCGXajHevkI2fn19NLBi9hcQ,電影劉油果
UCVIycx42aqhp8-ZRyeLN4Gw,亞次圓 _ Ylias
UClJlauaxRnvVQI63fRmHpMA,技安 CHI AN
UCTY5Ac6bOFjWJj_0EKzJoyA,卡欸蝶
UChLtl5F5QuXoUUzlagvHY7A,動畫 怪物彈珠 [繁體中文版]
UClC6OJcVbAx15T7Ra7y4LVA,蓋彼 Gabi SDK
UCqgMjBoXPefkwxqTsumIaoA,三炮笑工坊
UCMlwYHjsYtGLSe4lKlZv2Ww,Kids Tv China - 儿童漫画和婴儿歌曲
UCXmfS5whB0JOyDCqtDgcytA,凱拉特
UCYWcAVOwYTWpUanVthcZmaQ,有福星球
UCu6rpsZyEuJQZ0JW-Hhl6Ug,茜娘剧场
UCOO5e4L6GqEw7K8_Vt2FcJw,龍華電視
UCcHVKeT_5Ta-gTa-sgooQxQ,Inokawa Hajime井川一
UCD5a0H5XvzCtAGc_I__r2HA,老景觀影-官方頻道
UCskpmtOC2Fz-Zqrz2USMsJw,Apple Jerry
UCl3MRIpEjC4v2wWdsk2Mabw,迪士尼影業
UCKxuhXYFin5NT3UsmhQN-Zg,【主頻道】電影漩渦
UC445qedmhoP1k00dS9cTA5g,CHU啾啾妹
UC9glVu-XR-qrn4xCnTdnydg,counter656Toys
UCjbZ0j_9RBnLLmkmhaoX8SQ,第五量級研究所
UCDTc6_hBw6l41Q-2DEPGUZQ,Mahsira
UCoAWP6wKerciGGv-KiVEx7A,佳映娛樂
UCBtbUBrpn2G-MmFrJIBc8qw,MarvelTW
UCkm6iAODBiGJt7GfFXFmBvw,英雄卡車 - 汽車城
UCPKkgMdAgGUeLFNVOxtfeQQ,電影爆博士
UCXXIZxQMFBYw6IEMdFurgWA,阿平電影院 i-PK MOVIE
UCvTrOh1RUHnLx4QDa5xH06A,萌學園
UC6mK2t7avaKHEc8PZ-l0Kvg,aksa abayomi
UCrgHsIzLTxfkiYBvoyNk0-g,畫江湖官方版 Drawing Jianghu
UCwzTnE2b_iEiiPO_teJOPcQ,扁豆看電影
UClCGneeLfn5sZ03svXRUS6Q,阿後GAME
UCvIZF2yCsD1jktxHc65DQdA,thewisdommedia 為您推薦
UCs-3XEYksXsPpC4S-6GROqg,腐教主INTO
UCwQMTraHdar7VFuO0y6mzTA,小白導演
UCC5lW-QWw-qHeuO_y-nd2Zg,金光布袋戲
UCLrpgLCDUVakbYirSGD9b1w,內涵電影
UCjPljWz-1IXQUmfuRmZTa-g,pangyarbo
UCBGNNYbi6I_Ud-UD5pLaYIg,電影我的另一個世界
UCQFvZC1L8m8k923el-B49KA,Hola Jocs
UCf_bknpnrxghX7yFzcGTSPQ,周扒片
UCTJJ2QZ7UZvSrKDLieoPRBg,黑ちゃん
UC7UwXeZA4JatCaW0nj6UGCA,傑恩JN
UCaereJVO0kr0nJv1HiR11Iw,行政院農業委員會
UCiLUDqRMMqFV7PfFwWPW3_Q,friDay影音
UC3p5unrpch7MecyR1wa2Caw,小職e頻
UCL2flljA2Y6ktDybEPBerwQ,這些創意超有梗
UCAmUrFaqKNqPl38lrqEP4Dw,老虎講電影
UCK6lUYKEG9KlD-j_7YI7eKw,E N
UCuSoXyiHzg-WwQ_XPuie17g,凜皇
UClTHkbPO7wVv5n21ouXDUQQ,懷舊視頻
UCEZsBL07QuqjqgWmxcTjlgw,Maltose Cat
UC0NtSrnpqDJiL3k8j5iORyA,四郎說動漫
UCCqy0xMHSGbQKpe-z1gIOhQ,TGHFF
UCkHbTESPOmSksCU5zgnTXRQ,弘恩文化事業有限公司
UCURbl0Qxu-b6OZgfrrvspUA,Taiwan Trivia 臺灣二三事
UC8MQLq2uFUa-HXHCVjHlc-Q,DO DO
UCFVPS1D9PQ_orULh-go6sLA,ifilm傳影互動
UCguojynf0fOTasH7WZbGWKA,sakuyu chan
UCSzgv_uC5Fkb5aDxirWLy6w,A man
UCB2o_VD7OV-LiRiEaeENzfA,四季電影【官方頻道】
UCkb3qujcJH9JIroi1cTOoog,鬍子樂絲
UCKsTOKiioFw0_r0scEGR69Q,臺灣阿布電影
UCMJvCNKFYjOjcwh2b4f7pbA,Niki 妮奇
UCHthAcjfbJh4fnc95lFS7Cg,劇Dorama
UCw6rFivFJXhebaur8Esi-rQ,臺北電影節 TaipeiFilmFestival
UCxMmxTimbzzcusuzX_tMl1Q,少林Showlee
UC_WFkD4jo_PxKF68CC4-JQg,IngridChen
UCCPYSMEnbeepGM7RU6qxyUA,MuseLand 木棉花
UCJC696vUjALCYZ8AIs7xhUA,宸宸
UCcibcShnu4MkI73TKmucxTg,SHINN
